,Start_Date,sp500_delta,smi_delta,stoxx50_delta
1,2023-09-01,-0.01457327758979949,0.026665828949960394,0.002466518659413128
2,2023-09-04,0.012549303495729676,0.018404201371807826,-0.017315807602852725
3,2023-09-05,-0.006409170645854419,0.014832809307914158,0.02171017844313091
4,2023-09-06,-0.02274873254305349,0.004471290153373391,0.058184710848961256
5,2023-09-07,0.003974912887257113,0.012927710833344078,0.021657013239344033
6,2023-09-08,0.008605146763403496,0.015706149477113553,0.033821430948253906
7,2023-09-11,-0.0223342814289713,0.006115909456900347,0.005426552552478779
8,2023-09-12,0.011740060835337717,0.003486709742978204,0.028556169178676736
9,2023-09-13,0.011498295676333151,0.009503362399726186,-0.0013949953337779775
10,2023-09-14,0.009549156464420628,0.007052974191471572,0.0026877182245846096
11,2023-09-15,0.028114880154888836,0.007587021693706433,-0.004544548601797585
12,2023-09-18,0.010179719465831157,0.0017643491392731725,0.022550323812044026
13,2023-09-19,-0.0025509549369737068,0.004517428379475416,0.02103645938464707
14,2023-09-20,-0.003470901335106917,0.0037711317244459425,0.0061325367889304185
15,2023-09-21,0.024727944227327877,-0.01249967009607785,0.023539768642588024
16,2023-09-22,2.7210935489637342e-05,0.01065196986565538,0.04423678439653238
17,2023-09-25,0.0040226784683207156,0.0016382470345577384,0.015222521848974645
18,2023-09-26,-0.04090002014168291,0.010635729721313469,0.03362456115684108
19,2023-09-27,0.0018575425261262908,0.0006955300667332708,0.04266138067374636
20,2023-09-28,0.00488890052874203,0.007309409264155262,0.01709836988867296
21,2023-09-29,-0.02298758141411246,0.010558257411118953,0.004460115820736033
22,2023-10-02,0.0067515153349246085,0.004041515198813452,0.025833774008357104
23,2023-10-03,0.005277119411714168,-0.003206638023368152,0.050563998591933654
24,2023-10-04,-0.005506901116628102,0.021602614539503955,0.03595370614045848
25,2023-10-05,0.024070317968225233,0.0062620241449223004,0.03900191972394056
26,2023-10-06,-0.006300785417381728,-0.0032079586830915064,0.03673799225945008
27,2023-10-09,-0.014976379761052571,0.007726239039787836,0.0228036889384655
28,2023-10-10,0.004950456219164722,0.009688434753124506,0.027613539930911424
29,2023-10-11,0.010153038942094076,-0.0006431603672930234,0.007611551811421975
30,2023-10-12,0.017869180415658353,-0.0005699814856458813,0.03072792686993482
31,2023-10-13,0.0012840417209781007,0.009886643076121854,0.05443334987516382
32,2023-10-16,0.004276994229223187,0.017399133791200984,0.025851631182646224
33,2023-10-17,0.013856314242047052,-0.0007047506862123728,0.025973421895754738
34,2023-10-18,0.022786761162727112,0.018655727767035127,0.04239846803811307
35,2023-10-19,0.0313390050352136,0.00827222832788119,0.04124276147492074
36,2023-10-20,0.022667980094235707,0.012891226080863391,0.047755057434565595
37,2023-10-23,-0.002176379939534044,0.022465825398173482,0.03946909916757741
38,2023-10-24,0.0021544552479611343,0.012912866609461466,0.040705996289067355
39,2023-10-25,-0.004859358724267441,0.022571265696470423,0.04559267006800036
40,2023-10-26,0.04263777630821017,0.024253320211259564,0.05399074844195656
41,2023-10-27,0.029187970198592813,0.0024979934942995193,0.09623335309516885
42,2023-10-30,-0.009658962602450877,0.020420947353397972,0.05028152817589575
43,2023-10-31,0.047607495691886825,0.018987978323406037,-0.0020053412235418668
44,2023-11-01,0.028012934141503527,0.027696629056879276,0.030005187810677573
45,2023-11-02,0.016861753076901628,0.03130903444983506,0.04278207900160112
46,2023-11-03,0.005378419596090352,0.00792764170153249,-0.001916624624128194
47,2023-11-06,-0.012768390681977815,0.014219447054912907,0.026819675048663033
48,2023-11-07,0.007181195719459938,0.005013929427783329,0.020634438522994184
49,2023-11-08,0.018214916545417237,0.012678832895456415,0.006496509634505603
50,2023-11-09,0.01469132007594282,0.014556327791879306,0.0037837568237710085
51,2023-11-10,0.010606211694863475,0.010250007295030058,0.009460488047047466
52,2023-11-13,0.0029063580487336616,0.011981022816889484,0.0006786857846256352
53,2023-11-14,0.001444161085354433,0.01585155345689449,0.008486554530049161
54,2023-11-15,-0.012791744486453172,0.0032179713755466385,0.013841990538353253
55,2023-11-16,-0.017203306365750973,0.011152933868618677,0.004296146355161991
56,2023-11-17,0.007644583252344521,0.022027400915180972,0.002837723941265747
57,2023-11-20,-0.0040331832441561485,0.014120117970206255,0.009022849802725514
58,2023-11-21,-0.0024393764133117824,0.009186053387920634,0.004557575721001093
59,2023-11-22,0.002367360403764362,0.010464327900049617,0.000767485811719903
60,2023-11-23,0.011668542125246782,0.012524649166404077,-0.008516420032413843
61,2023-11-24,0.006823414149233438,0.00896220909325671,-0.0048420202941414385
62,2023-11-27,0.00969097993677823,0.006201658122488,0.006358756218986139
63,2023-11-28,-0.010983077688860098,0.010884370655135906,-0.0011660997713566113
64,2023-11-29,0.0009257266658845317,0.015051392215419464,0.0075408506588444425
65,2023-11-30,-0.007871459865168271,0.020681576900125752,-0.0062887950220920415
66,2023-12-01,-0.0046998257858693005,0.028557677148731128,-0.010915438996058142
67,2023-12-04,0.006274922652949909,0.020256582868722794,-0.021895676814501965
68,2023-12-05,-0.0008264149914553701,0.013028352352534724,-0.014693484254946917
69,2023-12-06,0.0006122739555979198,0.0027130453681297787,0.004046497094056429
70,2023-12-07,-0.0008230238262520012,0.009474697471856117,-0.003506752969312297
71,2023-12-08,-0.003380384953698488,0.009010870718645704,0.007495492423470003
72,2023-12-11,-0.00012672181069583156,0.0012125576885716623,0.004215193280477931
73,2023-12-12,0.00398787292228493,0.004506066397778213,-0.008148534119086307
74,2023-12-13,-0.006080555684665287,0.007749006700415008,0.004288581883941128
75,2023-12-14,-0.00026510244121326083,0.00978915645118367,0.0057810762939378745
76,2023-12-15,0.004517406322955663,0.004889849314168754,-0.01605576023930853
77,2023-12-18,-0.00593140438642833,0.0017560491093770937,0.0036141653711710088
78,2023-12-19,-0.0038994808724175153,0.007845091721452539,0.01575857905087164
79,2023-12-20,0.003635746503147714,0.00947473518651605,0.006250421163620576
80,2023-12-21,0.01368590765527558,0.004602335023190744,-0.0018577229268019575
81,2023-12-22,-0.007262769242464301,0.006820824051178283,0.003693705816915057
82,2023-12-25,-0.0032863374784178685,0.01281956756435394,-0.0071033871941393895
83,2023-12-26,0.009197828219124397,0.009509880772034534,0.01584241735877835
84,2023-12-27,0.007783698191290939,0.006868699675542407,-0.0026264027344561347
85,2023-12-28,-0.0014766013097786588,0.01547495738092393,0.007109546149627153
86,2023-12-29,-0.004547287435028456,0.011399644415047167,-0.012813036375932795
87,2024-01-01,0.004904969232419811,0.015155461294362963,-0.006496114637401054
